Score,Darts_Required,Primary_Combination,Alternative_1,Alternative_2,Notes
170,3,T20-T20-Bull,,,"Maximum finish"
169,0,IMPOSSIBLE,,,
168,0,IMPOSSIBLE,,,
167,3,T20-T19-Bull,,,
166,0,IMPOSSIBLE,,,
165,0,IMPOSSIBLE,,,
164,3,T20-T18-Bull,T19-T19-Bull,,
163,0,IMPOSSIBLE,,,
162,0,IMPOSSIBLE,,,
161,3,T20-T17-Bull,,,
160,3,T20-T20-D20,,,
159,0,IMPOSSIBLE,,,
158,3,T20-T20-D19,,,
157,3,T20-T19-D20,,,
156,3,T20-T20-D18,,,
155,3,T20-T19-D19,,,
154,3,T20-T18-D20,T19-T19-D19,,
153,3,T20-T19-D18,,,
152,3,T20-T20-D16,,,
151,3,T20-T17-D20,,,
150,3,T20-T18-D18,,,
149,3,T20-T19-D16,,,
148,3,T20-T20-D14,,,
147,3,T20-T17-D18,,,
146,3,T20-T18-D16,,,
145,3,T20-T19-D14,,,
144,3,T20-T20-D12,,,
143,3,T20-T17-D16,,,
142,3,T20-T14-D20,T19-T19-D14,,
141,3,T20-T19-D12,,,
140,3,T20-T20-D10,,,
139,3,T20-T13-D20,T19-T18-D14,,
138,3,T20-T18-D12,,,
137,3,T20-T19-D10,,,
136,3,T20-T20-D8,,,
135,3,T20-T17-D12,,,
134,3,T20-T14-D16,,,
133,3,T20-T19-D8,,,
132,3,T20-T20-D6,T19-T19-D9,,
131,3,T20-T13-D16,,,
130,3,T20-T18-D8,,,
129,3,T19-T16-D12,,,
128,3,T18-T14-D16,,,
127,3,T20-T17-D8,,,
126,3,T19-T19-D6,,,
125,3,T18-T19-D8,T20-T15-D10,,
124,3,T20-T20-D2,,,
123,3,T19-T16-D9,,,
122,3,T18-T20-D4,,,
121,3,T17-T20-D5,,,
120,3,T20-S20-D20,,,
119,3,T19-T20-D1,T20-S19-D20,,
118,3,T20-S18-D20,,,
117,3,T20-S17-D20,,,
116,3,T20-S16-D20,,,
115,3,T20-S15-D20,,,
114,3,T20-S14-D20,,,
113,3,T20-S13-D20,,,
112,3,T20-S12-D20,,,
111,3,T20-S11-D20,,,
110,3,T20-S10-D20,,,
109,3,T20-S9-D20,,,
108,3,T20-S8-D20,,,
107,3,T20-S7-D20,,,
106,3,T20-S6-D20,,,
105,3,T20-S5-D20,,,
104,3,T20-S4-D20,,,
103,3,T20-S3-D20,,,
102,3,T20-S2-D20,,,
101,3,T20-S1-D20,,,
100,2,T20-D20,,,
99,2,T19-D21,,,
98,2,T20-D19,,,
97,2,T19-D20,,,
96,2,T20-D18,,,
95,2,T19-D19,,,
94,2,T18-D20,,,
93,2,T19-D18,,,
92,2,T20-D16,,,
91,2,T17-D20,,,
90,2,T18-D18,,,
89,2,T19-D16,,,
88,2,T16-D20,,,
87,2,T17-D18,,,
86,2,T18-D16,,,
85,2,T19-D14,,,
84,2,T20-D12,,,
83,2,T17-D16,,,
82,2,T14-D20,Bull-D16,,
81,2,T19-D12,,,
80,2,T20-D10,,,
79,2,T13-D20,,,
78,2,T18-D12,,,
77,2,T19-D10,,,
76,2,T20-D8,,,
75,2,T17-D12,,,
74,2,T14-D16,,,
73,2,T19-D8,,,
72,2,T16-D12,,,
71,2,T13-D16,,,
70,2,T18-D8,,,
69,2,T15-D12,,,
68,2,T20-D4,,,
67,2,T17-D8,,,
66,2,T14-D12,,,
65,2,T19-D4,,,
64,2,T16-D8,,,
63,2,T13-D12,,,
62,2,T18-D4,,,
61,2,T15-D8,,,
60,2,S20-D20,,,
59,2,S19-D20,,,
58,2,S18-D20,,,
57,2,S17-D20,,,
56,2,S16-D20,,,
55,2,S15-D20,,,
54,2,S14-D20,,,
53,2,S13-D20,,,
52,2,S12-D20,,,
51,2,S11-D20,,,
50,1,Bull,S10-D20,,
49,2,S9-D20,,,
48,2,S8-D20,,,
47,2,S7-D20,,,
46,2,S6-D20,,,
45,2,S5-D20,,,
44,2,S4-D20,,,
43,2,S3-D20,,,
42,2,S2-D20,,,
41,2,S1-D20,,,
40,1,D20,,,
39,2,S7-D16,,,
38,1,D19,,,
37,2,S5-D16,,,
36,1,D18,,,
35,2,S3-D16,,,
34,1,D17,,,
33,2,S1-D16,,,
32,1,D16,,,
31,2,S7-D12,,,
30,1,D15,,,
29,2,S5-D12,,,
28,1,D14,,,
27,2,S3-D12,,,
26,1,D13,,,
25,2,S1-D12,,,
24,1,D12,,,
23,2,S7-D8,,,
22,1,D11,,,
21,2,S5-D8,,,
20,1,D10,,,
19,2,S3-D8,,,
18,1,D9,,,
17,2,S1-D8,,,
16,1,D8,,,
15,2,S7-D4,,,
14,1,D7,,,
13,2,S5-D4,,,
12,1,D6,,,
11,2,S3-D4,,,
10,1,D5,,,
9,2,S1-D4,,,
8,1,D4,,,
7,2,S3-D2,,,
6,1,D3,,,
5,2,S1-D2,,,
4,1,D2,,,
3,2,S1-D1,,,
2,1,D1,,,
